City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Cali,CO,77.0,broken clouds,3.4372,-76.5225,
1,Rikitea,PF,79.3,clear sky,-23.1203,-134.9692,
2,Arraial Do Cabo,BR,77.81,broken clouds,-22.9661,-42.0278,
7,Mataura,NZ,62.01,scattered clouds,-46.1927,168.8643,
8,Morro Bay,US,71.6,clear sky,35.3658,-120.8499,
9,Whyalla,AU,66.2,clear sky,-33.0333,137.5833,
10,Nanzhang,CN,63.09,clear sky,31.7765,111.8386,
15,East London,ZA,65.16,overcast clouds,-33.0153,27.9116,
17,Saldanha,ZA,62.6,overcast clouds,-33.0117,17.9442,
18,Carnarvon,AU,71.6,scattered clouds,-24.8667,113.6333,
20,Plettenberg Bay,ZA,63.82,overcast clouds,-34.0527,23.3716,
21,Hithadhoo,MV,78.85,moderate rain,-0.6,73.0833,
23,Port Alfred,ZA,65.08,overcast clouds,-33.5906,26.891,
25,Joao Pinheiro,BR,73.44,scattered clouds,-17.7425,-46.1725,
27,Bluff,NZ,62.01,broken clouds,-46.6,168.3333,
28,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,
29,Port Elizabeth,ZA,64.4,clear sky,-33.918,25.5701,
30,Meulaboh,ID,76.28,overcast clouds,4.1363,96.1285,
31,Kapaa,US,77.0,light rain,22.0752,-159.319,
33,Castro,BR,64.72,overcast clouds,-24.7911,-50.0119,
35,San Cristobal,VE,68.27,overcast clouds,7.7669,-72.225,
38,Bredasdorp,ZA,60.8,overcast clouds,-34.5322,20.0403,
41,Tuatapere,NZ,62.01,broken clouds,-46.1333,167.6833,
42,Hermanus,ZA,64.99,overcast clouds,-34.4187,19.2345,
43,Victoria,HK,77.0,scattered clouds,22.2855,114.1577,
44,Georgetown,MY,79.0,light rain,5.4112,100.3354,
46,Ponta Do Sol,PT,61.0,broken clouds,32.6667,-17.1,
47,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,
52,Canoinhas,BR,64.18,scattered clouds,-26.1772,-50.39,
55,Busselton,AU,67.5,clear sky,-33.65,115.3333,
57,Mar Del Plata,AR,66.0,scattered clouds,-38.0023,-57.5575,
60,Katsuura,JP,64.99,few clouds,35.1333,140.3,
63,Pinehurst,US,68.0,clear sky,35.1954,-79.4695,
66,Begun,IN,77.09,clear sky,24.9833,75.0,
68,Ribeira Grande,PT,60.37,overcast clouds,38.5167,-28.7,
