City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Cali,CO,3.4372,-76.5225,77.0,73,75,4.61,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,79.3,74,2,15.55,clear sky
2,Arraial Do Cabo,BR,-22.9661,-42.0278,77.81,88,56,8.25,broken clouds
3,Alyangula,AU,-13.8483,136.4192,85.53,67,73,17.34,broken clouds
4,Deputatskiy,RU,69.3,139.9,7.7,89,100,2.75,overcast clouds
5,Carballo,ES,43.213,-8.691,55.0,76,0,3.44,clear sky
6,Anantapur,IN,14.6833,77.6,80.01,44,76,6.22,broken clouds
7,Mataura,NZ,-46.1927,168.8643,62.01,90,33,10.0,scattered clouds
8,Morro Bay,US,35.3658,-120.8499,71.6,37,1,18.41,clear sky
9,Whyalla,AU,-33.0333,137.5833,66.2,68,0,4.61,clear sky
10,Nanzhang,CN,31.7765,111.8386,63.09,85,6,1.45,clear sky
11,Ushuaia,AR,-54.8,-68.3,46.4,57,75,11.5,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,15.8,62,40,4.61,scattered clouds
13,Iqaluit,CA,63.7506,-68.5145,12.2,79,75,12.66,light snow
14,Khatanga,RU,71.9667,102.5,-2.67,97,100,7.72,overcast clouds
15,East London,ZA,-33.0153,27.9116,65.16,78,100,13.49,overcast clouds
16,Jamestown,US,42.097,-79.2353,39.0,93,90,21.54,mist
17,Saldanha,ZA,-33.0117,17.9442,62.6,59,100,3.44,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,71.6,100,40,4.61,scattered clouds
19,Svetlogorsk,BY,52.6333,29.7333,38.89,96,100,10.2,overcast clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,63.82,71,100,7.02,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,78.85,85,100,32.06,moderate rain
22,Hobart,AU,-42.8794,147.3294,57.99,44,75,12.66,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,65.08,78,100,20.31,overcast clouds
24,Barrow,US,71.2906,-156.7887,-14.8,64,1,13.8,clear sky
25,Joao Pinheiro,BR,-17.7425,-46.1725,73.44,55,32,3.18,scattered clouds
26,Atuona,PF,-9.8,-139.0333,80.96,75,91,16.53,overcast clouds
27,Bluff,NZ,-46.6,168.3333,62.01,90,76,10.0,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,66.99,77,0,1.14,clear sky
29,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,12.66,clear sky
30,Meulaboh,ID,4.1363,96.1285,76.28,88,96,4.56,overcast clouds
31,Kapaa,US,22.0752,-159.319,77.0,73,90,18.41,light rain
32,Lebu,CL,-37.6167,-73.65,55.99,93,2,11.83,clear sky
33,Castro,BR,-24.7911,-50.0119,64.72,91,99,4.72,overcast clouds
34,Westerland,DE,54.9079,8.3033,46.0,93,90,21.85,overcast clouds
35,San Cristobal,VE,7.7669,-72.225,68.27,84,89,2.91,overcast clouds
36,Talnakh,RU,69.4865,88.3972,-14.37,99,64,4.12,broken clouds
37,Terney,RU,45.0503,136.6092,35.58,98,100,9.62,overcast clouds
38,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,13.8,overcast clouds
39,Nome,US,64.5011,-165.4064,19.0,93,90,28.77,snow
40,Mackay,AU,-21.15,149.2,82.4,65,75,10.36,broken clouds
41,Tuatapere,NZ,-46.1333,167.6833,62.01,90,72,10.0,broken clouds
42,Hermanus,ZA,-34.4187,19.2345,64.99,79,100,7.0,overcast clouds
43,Victoria,HK,22.2855,114.1577,77.0,86,26,1.01,scattered clouds
44,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.35,light rain
45,Qaanaaq,GL,77.484,-69.3632,-20.81,75,66,5.91,broken clouds
46,Ponta Do Sol,PT,32.6667,-17.1,61.0,53,71,5.99,broken clouds
47,Mount Isa,AU,-20.7333,139.5,78.8,27,2,19.57,clear sky
48,Thompson,CA,55.7435,-97.8558,26.6,59,90,6.91,snow
49,Asau,RO,46.4333,26.4,37.99,43,93,4.92,overcast clouds
50,Si Bun Ruang,TH,16.9667,102.2833,81.59,55,50,2.1,scattered clouds
51,Srednekolymsk,RU,67.45,153.6833,2.5,89,100,5.23,overcast clouds
52,Canoinhas,BR,-26.1772,-50.39,64.18,96,41,2.13,scattered clouds
53,Dikson,RU,73.5069,80.5464,-27.63,100,96,7.25,overcast clouds
54,Chapais,CA,49.7834,-74.8492,30.2,93,90,10.36,light snow
55,Busselton,AU,-33.65,115.3333,67.5,55,10,5.66,clear sky
56,Belgrade,RS,44.804,20.4651,46.4,57,0,1.52,clear sky
57,Mar Del Plata,AR,-38.0023,-57.5575,66.0,88,40,11.5,scattered clouds
58,Avarua,CK,-21.2078,-159.775,82.4,83,75,16.11,broken clouds
59,Kodiak,US,57.79,-152.4072,44.6,49,1,9.22,clear sky
60,Katsuura,JP,35.1333,140.3,64.99,88,20,3.44,few clouds
61,Tiksi,RU,71.6872,128.8694,5.13,93,100,1.36,overcast clouds
62,Vanavara,RU,60.34,102.2797,16.2,100,100,2.21,overcast clouds
63,Pinehurst,US,35.1954,-79.4695,68.0,68,1,11.5,clear sky
64,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,19.57,broken clouds
65,Helmsdale,GB,58.1168,-3.6517,53.6,76,75,17.27,moderate rain
66,Begun,IN,24.9833,75.0,77.09,19,1,8.05,clear sky
67,Butaritari,KI,3.0707,172.7902,81.01,79,81,14.14,light rain
68,Ribeira Grande,PT,38.5167,-28.7,60.37,84,100,22.84,overcast clouds
69,Noyon,FR,49.5833,3.0,48.0,76,0,9.22,clear sky
70,Rio Cuarto,AR,-33.1307,-64.3499,62.6,72,0,4.61,clear sky
71,Cocorit,MX,27.5833,-109.9667,87.8,13,20,13.8,few clouds
72,Vaini,TO,-21.2,-175.2,84.2,79,40,10.36,scattered clouds
73,Lompoc,US,34.6391,-120.4579,66.99,82,0,16.11,clear sky
74,Shakawe,BW,-18.3667,21.85,65.57,80,12,1.39,few clouds
75,Matara,LK,5.9485,80.5353,74.14,86,75,5.01,broken clouds
76,Saint-Louis,SN,16.3333,-15.0,84.2,34,0,4.61,clear sky
77,Mehamn,NO,71.0357,27.8492,27.52,78,91,7.16,overcast clouds
78,Kahului,US,20.8947,-156.47,75.2,64,40,23.02,scattered clouds
79,Nikolskoye,RU,59.7035,30.7861,39.99,87,0,2.24,light rain
80,Uyuni,BO,-20.4597,-66.825,54.54,53,32,8.32,scattered clouds
81,Flin Flon,CA,54.7682,-101.865,33.8,69,90,11.5,overcast clouds
82,Dingle,PH,10.9995,122.6711,81.3,78,100,8.57,overcast clouds
83,Boa Vista,BR,2.8197,-60.6733,87.8,51,20,4.61,few clouds
84,Mayna,RU,54.1135,47.6231,23.18,92,100,10.27,overcast clouds
85,Sabana De Torres,CO,7.3915,-73.4957,81.14,70,97,3.38,overcast clouds
86,Geraldton,AU,-28.7667,114.6,69.8,73,12,5.75,few clouds
87,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,46,66,17.9,broken clouds
88,Hasaki,JP,35.7333,140.8333,63.0,94,75,3.44,broken clouds
89,Legnago,IT,45.1832,11.3091,54.0,78,58,1.99,broken clouds
