City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shaoyang,CN,2021-03-28 16:08:13,27.2315,111.4525,70.25,82,30,2.1
1,Imbituba,BR,2021-03-28 16:08:13,-28.24,-48.6703,84.2,65,75,11.5
2,College,US,2021-03-28 16:08:13,64.8569,-147.8028,3.2,72,75,2.04
3,Ancud,CL,2021-03-28 16:08:13,-41.8697,-73.8203,64.4,68,20,14.97
4,Rikitea,PF,2021-03-28 16:08:14,-23.1203,-134.9692,78.17,76,13,16.73
5,Ferrol,ES,2021-03-28 16:08:14,43.4832,-8.2369,73.0,40,0,6.91
6,Tocopilla,CL,2021-03-28 16:08:14,-22.092,-70.1979,72.09,67,4,7.87
7,Albany,US,2021-03-28 16:05:36,42.6001,-73.9662,50.0,84,100,13.73
8,Punta Arenas,CL,2021-03-28 16:03:30,-53.15,-70.9167,51.8,43,0,23.02
9,Jackson,US,2021-03-28 16:08:14,42.4165,-122.8345,52.0,65,1,3.44
10,Amahai,ID,2021-03-28 16:08:07,-3.3333,128.9167,76.15,90,100,2.46
11,Bilibino,RU,2021-03-28 16:08:15,68.0546,166.4372,-25.1,96,30,3.96
12,Schwabisch Hall,DE,2021-03-28 16:08:15,49.1113,9.7391,57.2,38,0,9.22
13,Zhigansk,RU,2021-03-28 16:08:15,66.7697,123.3711,-2.61,99,83,3.67
14,Prince Rupert,CA,2021-03-28 16:08:15,54.3161,-130.3201,37.4,80,75,6.91
15,Abu Samrah,SY,2021-03-28 16:08:16,35.3029,37.1841,54.28,41,6,4.76
16,Hermanus,ZA,2021-03-28 16:08:16,-34.4187,19.2345,70.0,67,100,5.99
17,Sudzha,RU,2021-03-28 16:08:16,51.1976,35.2726,43.5,62,27,5.53
18,Busselton,AU,2021-03-28 16:04:06,-33.65,115.3333,60.01,90,0,8.43
19,Saskylakh,RU,2021-03-28 16:08:16,71.9167,114.0833,-4.11,99,97,2.04
20,Albina,SR,2021-03-28 16:08:17,5.5,-54.05,84.96,66,95,8.55
21,Quatre Cocos,MU,2021-03-28 16:08:17,-20.2078,57.7625,81.0,83,40,0.72
22,Montmagny,FR,2021-03-28 16:08:17,48.9734,2.3469,64.0,39,0,13.8
23,New Norfolk,AU,2021-03-28 16:08:18,-42.7826,147.0587,55.0,65,60,1.99
24,Santa Isabel Do Rio Negro,BR,2021-03-28 16:08:18,-0.4139,-65.0192,83.32,75,77,3.0
25,Victoria,HK,2021-03-28 16:03:55,22.2855,114.1577,77.0,86,3,7.07
26,Khatanga,RU,2021-03-28 16:08:18,71.9667,102.5,-1.48,98,99,6.91
27,Port Elizabeth,ZA,2021-03-28 16:08:18,-33.918,25.5701,66.2,68,0,16.11
28,Carnarvon,AU,2021-03-28 16:08:19,-24.8667,113.6333,75.2,94,0,4.61
